timestamp,x_est,y_est,yaw_est,x_gt,y_gt,yaw_gt,pos_error,yaw_error
29.160000,0.375373,0.058352,-2.278284,0.443047,1.926440,-3.075226,1.869313,0.796941
29.180000,0.374459,0.057286,-2.278437,0.440258,1.926893,-3.072666,1.870764,0.794229
29.200000,0.373242,0.055864,-2.278487,0.438334,1.927753,-3.069084,1.873021,0.790597
29.220000,0.373920,0.056651,-2.278589,0.436913,1.928872,-3.065122,1.873280,0.786533
29.240000,0.373830,0.056542,-2.278594,0.435712,1.930046,-3.061289,1.874525,0.782696
29.260000,0.373778,0.056480,-2.278615,0.434768,1.931195,-3.057295,1.875707,0.778680
29.280000,0.373746,0.056442,-2.278639,0.433833,1.932871,-3.051705,1.877391,0.773066
29.300000,0.373736,0.056428,-2.278633,0.433594,1.933383,-3.049871,1.877909,0.771238
29.320000,0.373695,0.056387,-2.278813,0.433560,1.934079,-3.047464,1.878646,0.768651
29.340000,0.373675,0.056366,-2.278920,0.433800,1.934282,-3.046704,1.878879,0.767784
29.360000,0.373666,0.056308,-2.277422,0.433891,1.934328,-3.046213,1.878986,0.768791
29.380000,0.373645,0.056193,-2.273888,0.433922,1.934349,-3.045220,1.879123,0.771332
29.400000,0.373684,0.056239,-2.273343,0.434370,1.934215,-3.042057,1.878956,0.768715
29.420000,0.373518,0.055785,-2.260648,0.435075,1.934006,-3.038769,1.879229,0.778121
29.440000,0.373398,0.055493,-2.250897,0.435510,1.933908,-3.036830,1.879442,0.785933
29.460000,0.373241,0.055146,-2.239022,0.436539,1.933637,-3.032276,1.879557,0.793254
29.480000,0.373041,0.054736,-2.224941,0.437681,1.933297,-3.027093,1.879673,0.802152
29.500000,0.372820,0.054289,-2.208653,0.438789,1.932951,-3.021442,1.879820,0.812790
29.520000,0.372588,0.053826,-2.190977,0.439763,1.932765,-3.015407,1.880140,0.824431
29.540000,0.372375,0.053529,-2.183030,0.440452,1.933065,-3.008775,1.880769,0.825746
29.560000,0.372256,0.053097,-2.154516,0.440974,1.933969,-3.000678,1.882127,0.846162
29.580000,0.372268,0.052995,-2.135452,0.440736,1.934497,-2.994862,1.882747,0.859410
29.600000,0.372350,0.053030,-2.116683,0.439643,1.934659,-2.992132,1.882831,0.875449
29.620000,0.372417,0.053140,-2.104395,0.438238,1.933770,-2.987028,1.881781,0.882634
29.640000,0.372458,0.053174,-2.085642,0.436978,1.932374,-2.980803,1.880308,0.895161
29.660000,0.372550,0.053336,-2.072628,0.434628,1.931394,-2.971231,1.879084,0.898603
29.680000,0.372519,0.053335,-2.063542,0.431771,1.930966,-2.966555,1.878566,0.903013
29.700000,0.372544,0.053431,-2.055725,0.430404,1.931058,-2.963987,1.878518,0.908262
29.720000,0.372528,0.053461,-2.049987,0.427617,1.931271,-2.959698,1.878617,0.909711
29.740000,0.372529,0.053512,-2.046381,0.424788,1.931543,-2.956013,1.878758,0.909632
29.760000,0.372602,0.053653,-2.036106,0.422019,1.931653,-2.952015,1.878651,0.915909
29.780000,0.372589,0.053677,-2.035680,0.419538,1.931810,-2.950155,1.878719,0.914475
29.800000,0.372505,0.053587,-2.042987,0.417507,1.932015,-2.949147,1.878967,0.906160
29.820000,0.372496,0.053599,-2.042192,0.415590,1.932142,-2.948358,1.879037,0.906166
29.840000,0.372492,0.053614,-2.041494,0.413939,1.932259,-2.947964,1.879103,0.906470
29.860000,0.372479,0.053609,-2.039225,0.412516,1.932308,-2.947764,1.879126,0.908538
29.880000,0.372500,0.053657,-2.035015,0.411148,1.932196,-2.947404,1.878936,0.912389
29.900000,0.372562,0.053782,-2.029791,0.408493,1.931530,-2.944849,1.878091,0.915058
29.920000,0.372574,0.053825,-2.020313,0.407389,1.931121,-2.943284,1.877619,0.922971
29.940000,0.372612,0.053923,-2.009708,0.404756,1.929901,-2.938758,1.876253,0.929049
29.960000,0.372701,0.054111,-2.003383,0.401781,1.928170,-2.933282,1.874284,0.929899
29.980000,0.372689,0.054126,-1.989632,0.398347,1.925937,-2.926455,1.871987,0.936823
30.000000,0.372772,0.054345,-1.964869,0.391820,1.921300,-2.912087,1.867053,0.947219
30.020000,0.372847,0.054562,-1.946448,0.389444,1.919391,-2.906377,1.864902,0.959929
30.040000,0.372892,0.054738,-1.927770,0.384340,1.915165,-2.894673,1.860463,0.966904
30.060000,0.372911,0.054864,-1.908871,0.378961,1.910418,-2.882425,1.855564,0.973554
30.080000,0.372915,0.054953,-1.889812,0.373432,1.905324,-2.870273,1.850371,0.980461
30.100000,0.372910,0.055015,-1.870623,0.367871,1.900055,-2.858175,1.845047,0.987552
30.120000,0.372959,0.055171,-1.856788,0.362343,1.894735,-2.846032,1.839594,0.989244
30.140000,0.372885,0.055083,-1.831939,0.356786,1.889485,-2.834151,1.834473,1.002212
30.160000,0.372871,0.055102,-1.812485,0.351343,1.884300,-2.822352,1.829325,1.009868
30.180000,0.372859,0.055122,-1.792976,0.346014,1.879193,-2.810547,1.824269,1.017571
30.200000,0.372848,0.055145,-1.773427,0.340798,1.874143,-2.798725,1.819281,1.025299
30.220000,0.372839,0.055172,-1.753840,0.335690,1.869153,-2.786899,1.814361,1.033059
30.240000,0.372829,0.055201,-1.734217,0.330708,1.864288,-2.774917,1.809577,1.040700
30.260000,0.372819,0.055231,-1.714555,0.325881,1.859627,-2.762583,1.805007,1.048028
30.280000,0.372807,0.055256,-1.694853,0.321231,1.855280,-2.749714,1.800762,1.054861
30.300000,0.372793,0.055274,-1.675107,0.316790,1.851366,-2.736143,1.796965,1.061037
30.320000,0.372803,0.055370,-1.657071,0.312597,1.847996,-2.721715,1.793636,1.064645
30.340000,0.372760,0.055278,-1.635486,0.308651,1.845178,-2.706593,1.791047,1.071106
30.360000,0.372744,0.055273,-1.615636,0.304958,1.842928,-2.690813,1.788939,1.075177
30.380000,0.372747,0.055343,-1.597020,0.299842,1.840756,-2.665315,1.786901,1.068295
30.400000,0.372717,0.055275,-1.575928,0.298254,1.840399,-2.656207,1.786677,1.080279
30.420000,0.372717,0.055348,-1.557028,0.295300,1.840340,-2.636957,1.786671,1.079929
30.440000,0.372689,0.055276,-1.536174,0.292641,1.841227,-2.616244,1.787744,1.080070
30.460000,0.372674,0.055272,-1.516290,0.290282,1.843172,-2.593950,1.789798,1.077660
30.480000,0.372658,0.055257,-1.496418,0.288225,1.846325,-2.569944,1.793057,1.073526
30.500000,0.372654,0.055314,-1.477120,0.286457,1.850652,-2.544333,1.797406,1.067213
30.520000,0.372629,0.055139,-1.456812,0.284867,1.855207,-2.518107,1.802206,1.061295
30.540000,0.372622,0.055093,-1.436965,0.283377,1.859664,-2.491798,1.806776,1.054833
30.560000,0.372615,0.055047,-1.417108,0.281911,1.864000,-2.465558,1.811226,1.048451
30.580000,0.372608,0.055002,-1.397246,0.280453,1.868215,-2.439386,1.815553,1.042140
30.600000,0.372602,0.054958,-1.377383,0.278983,1.872309,-2.413262,1.819761,1.035879
30.620000,0.372597,0.054913,-1.357517,0.277481,1.876283,-2.387176,1.823852,1.029659
30.640000,0.372593,0.054866,-1.337651,0.275915,1.880135,-2.361113,1.827828,1.023462
30.660000,0.372590,0.054818,-1.317786,0.274260,1.883869,-2.335043,1.831692,1.017257
30.680000,0.372587,0.054830,-1.298103,0.272515,1.887495,-2.308904,1.835396,1.010801
30.700000,0.372585,0.054782,-1.278211,0.270660,1.891027,-2.282665,1.839071,1.004454
30.720000,0.372584,0.054739,-1.258310,0.268660,1.894469,-2.256304,1.842663,0.997994
30.740000,0.372585,0.054656,-1.238230,0.265276,1.899475,-2.216487,1.847938,0.978256
30.760000,0.372582,0.054634,-1.218294,0.263996,1.901107,-2.203147,1.849663,0.984853
30.780000,0.372575,0.054625,-1.198334,0.261096,1.904350,-2.176402,1.853081,0.978069
30.800000,0.372560,0.054665,-1.178525,0.257670,1.907553,-2.149624,1.856446,0.971099
30.820000,0.372545,0.054673,-1.158509,0.253736,1.910616,-2.123034,1.859742,0.964525
30.840000,0.372536,0.054631,-1.138368,0.249353,1.913487,-2.096423,1.862933,0.958055
30.860000,0.372509,0.054701,-1.118550,0.244732,1.915947,-2.069881,1.865627,0.951331
