timestamp,x_est,y_est,yaw_est,x_gt,y_gt,yaw_gt,pos_error,yaw_error
101.240000,2.818027,0.078253,-2.734293,2.817690,0.083414,-2.734291,0.005172,-0.000002
101.260000,2.817883,0.078376,-2.734362,2.817694,0.083415,-2.734293,0.005042,-0.000069
101.280000,2.817746,0.078497,-2.734297,2.817697,0.083416,-2.734295,0.004919,-0.000002
101.300000,2.817609,0.078616,-2.734299,2.817699,0.083418,-2.734297,0.004803,-0.000002
101.320000,2.817477,0.078731,-2.734301,2.817702,0.083419,-2.734299,0.004693,-0.000002
101.340000,2.817478,0.078731,-2.734302,2.817705,0.083420,-2.734301,0.004694,-0.000002
101.360000,2.817349,0.078845,-2.734304,2.817709,0.083422,-2.734304,0.004592,-0.000001
101.380000,2.817224,0.078955,-2.734306,2.817711,0.083423,-2.734305,0.004494,-0.000001
101.400000,2.817102,0.079063,-2.734308,2.817714,0.083424,-2.734306,0.004404,-0.000002
101.420000,2.816983,0.079168,-2.734310,2.817718,0.083426,-2.734309,0.004321,-0.000001
101.440000,2.816985,0.079169,-2.734311,2.817719,0.083426,-2.734310,0.004320,-0.000001
101.460000,2.816868,0.079271,-2.734313,2.817722,0.083428,-2.734311,0.004243,-0.000001
101.480000,2.816753,0.079369,-2.734315,2.817725,0.083429,-2.734314,0.004175,-0.000001
101.500000,2.816643,0.079467,-2.734316,2.817727,0.083430,-2.734315,0.004108,-0.000001
101.540000,2.816539,0.079562,-2.734319,2.817732,0.083432,-2.734318,0.004050,-0.000002
101.560000,2.816435,0.079654,-2.734321,2.817734,0.083433,-2.734320,0.003996,-0.000002
101.580000,2.816333,0.079744,-2.734323,2.817737,0.083434,-2.734322,0.003948,-0.000002
101.600000,2.816234,0.079832,-2.734325,2.817739,0.083435,-2.734323,0.003905,-0.000002
101.640000,2.816140,0.079920,-2.734329,2.817746,0.083438,-2.734328,0.003867,-0.000001
101.660000,2.816045,0.080004,-2.734330,2.817747,0.083438,-2.734329,0.003833,-0.000001
101.680000,2.815953,0.080086,-2.734332,2.817750,0.083439,-2.734330,0.003804,-0.000001
101.700000,2.815863,0.080167,-2.734334,2.817752,0.083440,-2.734332,0.003779,-0.000001
101.720000,2.815776,0.080244,-2.734335,2.817755,0.083441,-2.734334,0.003760,-0.000001
101.740000,2.815778,0.080245,-2.734337,2.817757,0.083442,-2.734335,0.003760,-0.000001
101.760000,2.815692,0.080322,-2.734338,2.817761,0.083444,-2.734337,0.003745,-0.000001
101.780000,2.815608,0.080396,-2.734339,2.817762,0.083444,-2.734338,0.003732,-0.000001
101.800000,2.815607,0.080396,-2.734341,2.817766,0.083446,-2.734340,0.003736,-0.000001
101.820000,2.815525,0.080468,-2.734342,2.817767,0.083446,-2.734341,0.003728,-0.000001
101.840000,2.815446,0.080538,-2.734343,2.817770,0.083448,-2.734342,0.003724,-0.000001
101.860000,2.815369,0.080607,-2.734344,2.817771,0.083448,-2.734343,0.003721,-0.000001
101.880000,2.815294,0.080674,-2.734345,2.817774,0.083449,-2.734344,0.003721,-0.000001
101.900000,2.815221,0.080741,-2.734347,2.817776,0.083450,-2.734345,0.003724,-0.000001
101.920000,2.815223,0.080744,-2.734329,2.817778,0.083452,-2.734346,0.003723,0.000017
101.940000,2.815152,0.080808,-2.734348,2.817781,0.083453,-2.734347,0.003729,-0.000001
101.960000,2.815082,0.080870,-2.734349,2.817783,0.083454,-2.734348,0.003737,-0.000001
101.980000,2.815015,0.080931,-2.734350,2.817785,0.083455,-2.734349,0.003748,-0.000001
102.000000,2.814949,0.080990,-2.734351,2.817788,0.083457,-2.734350,0.003761,-0.000001
102.040000,2.814886,0.081049,-2.734353,2.817791,0.083459,-2.734352,0.003774,-0.000001
102.060000,2.814821,0.081105,-2.734354,2.817793,0.083460,-2.734352,0.003792,-0.000001
102.080000,2.814761,0.081160,-2.734354,2.817795,0.083461,-2.734353,0.003808,-0.000001
102.100000,2.814762,0.081161,-2.734355,2.817797,0.083462,-2.734354,0.003809,-0.000001
102.120000,2.814702,0.081214,-2.734356,2.817799,0.083463,-2.734355,0.003827,-0.000001
102.140000,2.814645,0.081267,-2.734357,2.817801,0.083464,-2.734356,0.003846,-0.000001
102.160000,2.814587,0.081317,-2.734357,2.817803,0.083465,-2.734356,0.003867,-0.000001
102.180000,2.814534,0.081366,-2.734358,2.817805,0.083467,-2.734357,0.003887,-0.000001
102.200000,2.814480,0.081415,-2.734359,2.817806,0.083468,-2.734358,0.003909,-0.000001
102.220000,2.814427,0.081463,-2.734359,2.817809,0.083469,-2.734359,0.003933,-0.000001
102.240000,2.814429,0.081464,-2.734360,2.817810,0.083470,-2.734359,0.003931,-0.000001
